DataHora,Satelite,Pais,Estado,Municipio,Bioma,DiaSemChuva,Precipitacao,RiscoFogo,FRP,Latitude,Longitude
2025/10/20 18:19:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,10,4.57,1.0,9.1,-3.07056,-47.33216
2025/10/22 17:56:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,2,0.0,0.96,95.4,-3.59327,-48.87502
2025/10/25 18:13:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,3,0.0,1.0,9.6,-3.74346,-48.12279
2025/10/25 18:13:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,4,0.0,1.0,14.3,-2.96639,-47.37193
2025/10/25 18:13:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,3,0.0,1.0,6.2,-3.74217,-48.11399
2025/10/30 18:09:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,9,0.0,0.95,16.1,-2.77523,-47.65741
2025/11/04 18:06:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,4,0.0,0.84,24.0,-2.67359,-46.93816
2025/11/04 18:06:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,4,0.0,1.0,8.5,-2.57476,-46.95922
2025/11/04 18:06:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,6,0.0,1.0,21.7,-3.07332,-47.78034
2025/11/04 18:06:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,6,0.0,0.98,22.0,-3.07198,-47.77119
2025/11/04 18:06:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,9,0.0,1.0,15.8,-3.0244,-47.44591
2025/11/04 18:06:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,3,0.0,1.0,26.3,-2.67231,-46.9294
2025/11/07 18:23:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,15,0.0,1.0,85.5,-3.52363,-47.55244
2025/11/07 18:23:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,10,0.0,1.0,12.4,-3.43677,-47.52606
2025/11/07 18:23:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,15,0.0,1.0,659.8,-3.53182,-47.53974
2025/11/07 18:23:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,15,0.0,1.0,250.6,-3.52196,-47.54118
